instance_id,tag,v7_executable,v8_executable,v7_em,v8_em,v7_source,v8_source,v7_bucket,v8_bucket
bq280,both_miss,True,True,False,False,C0_anchor,C0_direct,exec_ok_but_rows_mismatch,exec_ok_but_rows_mismatch
bq300,both_miss,True,True,False,False,C0_anchor,C1_retrieval_docs,exec_ok_but_rows_mismatch,exec_ok_but_rows_mismatch
bq301,both_miss,False,,False,False,C0_anchor,C1_retrieval_docs,other_bad_request,function_signature
bq302,both_miss,True,True,False,False,C0_anchor,C1_retrieval_docs,exec_ok_but_rows_mismatch,exec_ok_but_rows_mismatch
bq303,both_miss,False,True,False,False,C0_anchor,C1_retrieval_docs,other:InternalServerError,exec_ok_but_rows_mismatch
bq304,both_miss,False,,False,False,C0_anchor,C1_retrieval_docs,unrecognized_column,syntax_error
bq310,both_miss,False,False,False,False,C0_anchor,C2_cte_decomp,function_signature,other:InternalServerError
bq305,both_miss,False,,False,False,C0_anchor,C2_cte_decomp,function_signature,unrecognized_column
bq306,both_miss,False,False,False,False,C0_anchor,C2_cte_decomp,unrecognized_column,other:InternalServerError
bq308,both_miss,False,,False,False,C0_anchor,C2_cte_decomp,table_or_dataset_not_found,unrecognized_column
bq309,both_miss,False,,False,False,C0_anchor,C2_cte_decomp,other:InternalServerError,syntax_error
bq124,both_miss,False,,False,False,C0_anchor,C2_cte_decomp,table_or_dataset_not_found,syntax_error
bq391,both_miss,False,True,False,False,C0_anchor,C1_retrieval_docs,table_or_dataset_not_found,exec_ok_but_rows_mismatch
bq126,both_miss,True,True,False,False,C0_anchor,C1_retrieval_docs,exec_ok_but_rows_mismatch,exec_ok_but_rows_mismatch
bq366,both_miss,True,True,False,False,C0_anchor,C1_retrieval_docs,exec_ok_but_rows_mismatch,exec_ok_but_rows_mismatch
bq414,both_miss,True,False,False,False,C0_anchor,C0_direct,exec_ok_but_rows_mismatch,other_bad_request
bq200,both_miss,False,,False,False,C0_anchor,C2_cte_decomp,table_or_dataset_not_found,table_or_dataset_not_found
bq204,both_match,True,True,True,True,C0_anchor,C0_direct,EX_MATCH,EX_MATCH
bq389,both_miss,False,,False,False,C0_anchor,C0_direct,function_signature,syntax_error
bq199,both_miss,False,False,False,False,C0_anchor,C3_repaired,other:InternalServerError,other:InternalServerError
bq218,both_miss,False,True,False,False,C0_anchor,C1_retrieval_docs,table_or_dataset_not_found,exec_ok_but_rows_mismatch
bq049,both_miss,False,False,False,False,C0_anchor,C3_repaired,function_signature,other:InternalServerError
bq360,both_miss,False,,False,False,C0_anchor,C2_cte_decomp,table_or_dataset_not_found,syntax_error
bq286,both_miss,True,True,False,False,C0_anchor,C1_retrieval_docs,exec_ok_but_rows_mismatch,exec_ok_but_rows_mismatch
bq143,both_miss,False,,False,False,C0_anchor,C2_cte_decomp,syntax_error,unrecognized_column
bq046,both_miss,False,,False,False,C0_anchor,C2_cte_decomp,table_or_dataset_not_found,other_bad_request
bq161,both_miss,False,False,False,False,C0_anchor,C1_retrieval_docs,other:InternalServerError,other:InternalServerError
bq151,both_miss,False,False,False,False,C0_anchor,C0_direct,other:InternalServerError,other:InternalServerError
bq162,both_miss,False,True,False,False,C0_anchor,C1_retrieval_docs,syntax_error,exec_ok_but_rows_mismatch
